Task,Topic
Public participation is one of the national values and principles of governance stipulated in Article 10 of the Kenya Constitution 2010.   Article 174(c) provides that one of the objects of devolution is to give powers of self-governance to the people and enhance their participation in the exercise of the powers of the State and in making decisions affecting them .,Tender
"Section 115(1)-(2) of the County Government Act 2012, stipulates that Public participation in the county planning processes shall be mandatory and be facilitated through:",Tender
Public participation is one of the national values and principles of governance stipulated in Article 10 of the Kenya Constitution 2010.   Article 174(c) provides that one of the objects of devolution is to give powers of self-governance to the people and enhance their participation in the exercise of the powers of the State and in making decisions affecting them .,Tender
"Section 115(1)-(2) of the County Government Act 2012, stipulates that Public participation in the county planning processes shall be mandatory and be facilitated through:",Tender
Public participation is one of the national values and principles of governance stipulated in Article 10 of the Kenya Constitution 2010.   Article 174(c) provides that one of the objects of devolution is to give powers of self-governance to the people and enhance their participation in the exercise of the powers of the State and in making decisions affecting them .,Tender
"Section 115(1)-(2) of the County Government Act 2012, stipulates that Public participation in the county planning processes shall be mandatory and be facilitated through:",Tender
The County Government/Urban Board/Committee may engage the services of a planning firm or consortium to undertake the preparation of City/Municipal/Urban land use plan(s) guided by the Public Procurement and Disposal Act No. 33 of 2015.,Tender
"The County/City/Municipal Director responsible for Land Use Planning should prepare an annual departmental work plan, budget and procurement plan indicating the need to procure planning services for the City/Municipal/Urban land use plan(s). The Director should ensure that the proposal to procure planning services is captured in the City/Municipality and County annual work plan and procurement plan.",Tender
The County Government/Urban Board/Committee may engage the services of a planning firm or consortium to undertake the preparation of City/Municipal/Urban land use plan(s) guided by the Public Procurement and Disposal Act No. 33 of 2015.,Tender
"The County/City/Municipal Director responsible for Land Use Planning should prepare an annual departmental work plan, budget and procurement plan indicating the need to procure planning services for the City/Municipal/Urban land use plan(s). The Director should ensure that the proposal to procure planning services is captured in the City/Municipality and County annual work plan and procurement plan.",Tender
The County Government/Urban Board/Committee may engage the services of a planning firm or consortium to undertake the preparation of City/Municipal/Urban land use plan(s) guided by the Public Procurement and Disposal Act No. 33 of 2015.,Tender
"The County/City/Municipal Director responsible for Land Use Planning should prepare an annual departmental work plan, budget and procurement plan indicating the need to procure planning services for the City/Municipal/Urban land use plan(s). The Director should ensure that the proposal to procure planning services is captured in the City/Municipality and County annual work plan and procurement plan.",Tender
The County Government/Urban Board/Committee may engage the services of a planning firm or consortium to undertake the preparation of City/Municipal/Urban land use plan(s) guided by the Public Procurement and Disposal Act No. 33 of 2015.,Tender
"The County/City/Municipal Director responsible for Land Use Planning should prepare an annual departmental work plan, budget and procurement plan indicating the need to procure planning services for the City/Municipal/Urban land use plan(s). The Director should ensure that the proposal to procure planning services is captured in the City/Municipality and County annual work plan and procurement plan.",Tender
"Prior to invitation for   tenders, the Chief Officer through the Director responsible for land use planning, shall prepare tender documents and appoint an ad hoc evaluation committee as per section 46 of PP&DA and at least one independent lay assessor, and technical assessors recommended by the professional regulatory   body governing land use planning.",Tender
"Properly conducted, a Board self-evaluation can have a profound impact on a Board. If answers are given honestly, it can provide the impetus for a Board to resolve issues that have remained simmering unattended to and create synergy among the members.",Tender
"Properly conducted, a Board self-evaluation can have a profound impact on a Board. If answers are given honestly, it can provide the impetus for a Board to resolve issues that have remained simmering unattended to and create synergy among the members.",Tender
"Properly conducted, a Board self-evaluation can have a profound impact on a Board. If answers are given honestly, it can provide the impetus for a Board to resolve issues that have remained simmering unattended to and create synergy among the members.",Tender
"Properly conducted, a Board self-evaluation can have a profound impact on a Board. If answers are given honestly, it can provide the impetus for a Board to resolve issues that have remained simmering unattended to and create synergy among the members.",Tender
"Properly conducted, a Board self-evaluation can have a profound impact on a Board. If answers are given honestly, it can provide the impetus for a Board to resolve issues that have remained simmering unattended to and create synergy among the members.",Tender
"Properly conducted, a Board self-evaluation can have a profound impact on a Board. If answers are given honestly, it can provide the impetus for a Board to resolve issues that have remained simmering unattended to and create synergy among the members.",Tender
The Board should be sensitive to the fact that the evaluation of Chairperson and individual Directors can be quite disruptive in relationships between the Directors. The Board may therefore wish to initially undertake the overall Board evaluation The others other evaluations can then be subsequently undertaken after the Directors have gotten used to the idea of Board evaluations and after these evaluations have been included in their letters of appointment as conditions for their acceptance of the appointments.,Tender
"The proposed land for development is located north of Lake Naivasha, delineated by the Nairobi Nakuru Highway; Malewa River and the Eastern Escarpment. It occupies an area of 350ha on L.R. No. 425/56 and L.R. No. 425/58.",Tender
"IN EXERCISE of the powers conferred upon me by section 9 (2) of the Salaries and Remuneration Commission Act; I, Uhuru Kenyatta, President of the Republic of Kenya and Commander-in-Chief of the Defence Forces, declare vacancies in the positions of the Chairperson and nine (9) Members of the Salaries and Remuneration Commission",Job vacancies
"IN EXERCISE of the powers conferred by section 7A (2) of the Independent Electoral and Boundaries Commission Act, 2011, I, Uhuru Kenyatta, President and Commander-in-Chief of the Kenya Defence Forces, declare vacancies in the positions of four members of the Independent Electoral and Boundaries Commission",Job vacancies
"Applications, together with certified copies of certificates and testimonials, should be submitted so as to be received on or before Tuesday, the 12th April, 2011.  An application should be submitted in a sealed envelope clearly marked “Application for Member of the Judges and Magistrates Vetting Board” and addressed to:",Job vacancies
"IN EXERCISE of the powers conferred by section 7A (2) of the Independent Electoral and Boundaries Commission Act, 2011, I, Uhuru Kenyatta, President and Commander-in-Chief of the Kenya Defence Forces, declare vacancies in the positions of four members of the Independent Electoral and Boundaries Commission",Job vacancies
"IN EXERCISE of the powers conferred by section 15 (2) of the National Gender and Equality Commission Act, 2011, I, Uhuru  Kenyatta, President and Commander-in-Chief of the Kenya Defence Forces, declare vacancies in the offices of two members of the National Gender and Equality Commission",Job vacancies
"IN EXERCISE of the powers conferred by section 27 of the Media Council Act, 2013, the Cabinet Secretary for the ICT, Innovation and Youth Affairs declares vacancies in the position of member of the Complaints Commission and invites applications from suitably qualified persons. The applications should be forwarded to the Selection Panel in accordance with section 7 (5) of the Act within seven (7) days of this Notice",Job vacancies
"IN EXERCISE of the powers conferred by section 27 (2) and 7 (2) of the Media Council Act, the Cabinet Secretary for Information, Communications and Technology declares vacancies in the positions of chairperson and members of the Complaints Commission and invite applications from suitably qualified persons for the position of chairperson and members of the Complaints Commission. The applications shall be forwarded to the Selection Panel pursuant to section 7 (2) of the Act, within seven (7) days of this notice",Job vacancies
"IN EXERCISE of the powers conferred by section 15 (2) of the Kenya National Commission on Human Rights Act, 2011, I, Uhuru Kenyatta, President and Commander-in-Chief of the Kenya Defence Forces, declare vacancies in the offices of Chairperson and four members of the Kenya National Commission on Human Rights.",Job vacancies
"IN EXERCISE of the powers conferred by section 6B (1) (a) of the Kenya Information and Communications Act, 1998, the Cabinet Secretary for Information, Communications and Technology declares vacancies in the positions of members of the Board of the Communications Authority of Kenya and invites applications from suitable qualified persons for the position of member of the Board of the Communications Authority of Kenya. The applications shall be forwarded to the Selection Panel convened pursuant to section 6B (1) (b) of the Act within seven (7) days of this notice.",Job vacancies
"IN EXERCISE of the powers conferred by section 6B (1) (a) of the Kenya Information and Communications Act, the Cabinet Secretary for information, Communications and Technology declares vacancies in the positions of members of the Board of the Communications Authority of Kenya and invites applications from suitably qualified persons for the positions of members of the Board of the Communications Authority of Kenya. The applications shall be forwarded to the selection panel pursuant to section 6B (4) of the Act, within seven days of publication of this notice",Job vacancies
"NOTICE is given that the ten (10) electoral areas (civic wards) specified in the third column of the schedule hereunder and falling within the local authorities and constituencies specified in the second and fourth columns, respectively, have been declared vacant.",Job vacancies
"IT IS notified for the information of the general public that Article 176(1) of the Constitution, as read together with Section 12 of the County Governments Act, 2012 which establishes a county assembly service board. The membership of the Board pursuant to Section 46 of the County Assembly Services Act, 2017 shall consist of",Job vacancies
"The County Assembly of Kisii wishes to invite applications from suitably qualified persons residing in the county, who have knowledge and experience in public affairs, but who are not members of the County Assembly to be considered for the position of Member of the County Assembly Service Board within fourteen days of the publication of this notice as contemplated in the First Schedule to the County Assembly Services Act.",Job vacancies
"WHEREAS Articles 88 and 250 of the Constitution of Kenya, 2010, sections 5 and 6 of the Independent Electoral and Boundaries Commission Act, 2011, and the First Schedule thereto, as amended by the Independent Electoral and Boundaries Commission (Amendment) Act, 2020, provide for the membership of the Independent Electoral and Boundaries Commission and the process of appointment of Commissioners of the Independent Electoral and Boundaries Commission",Job vacancies
"AND further whereas on 1st May, 2021, the Selection Panel for the Appointment of Commissioners of the Independent Electoral and Boundaries Commission (2021) invited applications from suitably qualified persons who satisfy the provisions of the Constitution and  the Independent Electoral and Boundaries Commission Act, 2011, by advertisement in the Kenya Gazette, two newspapers of national circulation and on the website of the Parliamentary Service Commission",Job vacancies
"AND further, on the 12th June, 2021, the Selection Panel  published the names of thirty-six applicants shortlisted for the position of Member of the Independent Electoral and Boundaries Commission and specifically invited, for oral interview on Tuesday, 20th July, 2021, the following shortlisted candidates",Job vacancies
"IN EXERCISE of the powers conferred by section 5 (8), (9) and (15) of the Science, Technology and Innovation Act, 2013, the Cabinet Secretary for Education extends the appointment of the following persons—",Job vacancies
"The successful applicant shall serve in any High Court, Environment and Land Court or Industrial Court Station in Kenya as and when designated by the Honourable Chief Justice and shall have jurisdiction as stipulated in Articles 165 (3) and (6), 162 (2) (a) and 162 (2) (b) respectively of the Constitution or any other jurisdiction, original or appellate conferred by any legislation.",Job vacancies
"(b) A detailed and updated curriculum vitae summarizing the applicant’s bio-data including, background information, (such as community service, financial discipline, pro bono activity, involvement as a party in litigation and involvement in political activity including any financial contribution to any political party/parties and criminal record) legal/professional engagement for the last five (5) years, three (3) professional referees and two (2) character references who can verify and comment on the applicant’s past and present employment.",Job vacancies
"Declaration of income and liabilities as at the time of making the application, using the prescribed forms (The Declaration of Income, Assets and Liabilities Form JSC 2b can be downloaded from the Judiciary website – www.judiciary.go.ke) .  For those who are in Government employment, attach copies of returns of declaration of income and liabilities and for those in private practice attach income tax returns, for the last three (3) years.",Job vacancies
"IT IS notified for the information of the general public that pursuant to Article 176 of the Constitution of Kenya, 2010 which establishes County Governments for each County, consisting of a County Assembly and a County Executive.",Job vacancies
"Section 12 of the County Governments Act, which establishes a County Assembly Service Board for each County Assembly",Job vacancies
The County Assembly of Busia invites interested persons who qualify to serve as members of the County Assembly Service Board and who meet the requirements of Chapter Six of the Constitution of Kenya and sections 8 and 9 of the County Assembly Services Act to submit their applications,Job vacancies
"Completed applications together with a detailed curriculum vitae of the candidate and relevant supporting documents thereto should be submitted to the Office of the Clerk of the County Assembly of Busia situate at the Busia County Assembly Chambers in Busia Town so as to reach him not later than 2nd October, 2017, at 5.00 p.m.",Job vacancies
"IT IS notified for the information of the general public that pursuant to Article 176 of the Constitution of Kenya, 2010 that establishes a County Assembly for each County Government as read together with section 12 (3) (d) of the County Governments Act, 2012 which provides for membership of the County Assembly Service Board, and sections 8 and 9 and 46 (d) of the County Assembly Services Act and the First Schedule thereto on qualifications and procedure for appointment of a member of the Board, the  County Assembly of Nyeri declares the vacancy in the office of two (2) members (one man and one woman) of the County Assembly Service Board of Nyeri and invites applications from interested and qualified persons who are not members of the County Assembly but residents of the County and who must fufill the following requirements",Job vacancies
"To submit their completed applications together with detailed curriculum vitae of the candidate, clearances and relevant supporting documents in sealed envelopes to the office of the Clerk of the County Assembly of Nyeri, situate at the County Assembly Buildings, Ruring’u not later than Monday, 2nd October, 2017 at 5.00 p.m.",Job vacancies
"IN Gazette Nos. 2888 and 2889 of 2011, page 755 add the following vacant ward and appointed returning officers for conduct of the by-election to be held on 23rd May, 2011",Job vacancies
"Applications should be submitted in a sealed envelope clearly marked “Application for Member of the Meru County Assembly Service Board” and addressed to: The Secretary, Meru County Assembly Service Board, P.O. Box 3-60200, Meru.",Job vacancies
"PURSUANT to Article 176 of the Constitution of Kenya, 2010 that establishes a County Assembly for each County Government as read together with section 12 (3) (d) of the County Governments Act, 2012 and section 8 and 9, and First Schedule of the County Assembly Services Act, 2017, the  County Assembly of Turkana invites applications from interested persons, both male and female, who qualify to serve as members of the County Assembly Service Board.",Job vacancies
"Applications may be made by any qualified person. All applications should be submitted together with detailed curriculum vitae, a copy of ID/Passport, copies of certificates, testimonials and any other relevant supporting documents",Job vacancies
"a)  Vacancies occurred in the offices of the County Governor, Lamu County on 7th October, 2013 and Lunga Lunga Member of the National Assembly on 26th September, 2013",Job vacancies
"d) Submission of the list and details of the Political Party nominated candidates and the Independent candidates to the Commission shall be on 1st November, 2013.",Job vacancies
"f)  The days for the nomination of Political Parties candidates and Independent candidates for the By-Election will be on Wednesday, 6th November, 2013 and Thursday, 7th November, 2013, and nomination papers shall be delivered by candidates to the Returning Officers between the hours of eight o’clock in the morning and four o’clock in the afternoon",Job vacancies
") Pursuant to the provisions of Regulation 57 (1) and (2) of the Elections (General) Regulations, 2012 every Political Party and every Independent Candidate at the by-election shall submit to the Commission names of the Chief Agents on or before 18th November, 2013",Job vacancies
"The campaign period for purposes of the 2nd December, 2013 By-Election Shall Commence on 7th November, 2013 and cease on 30th November, 2013 being 24 hours before the By- Election Day which is 2nd December, 2013.",Job vacancies
"The attention of candidates and persons subscribing nomination papers is drawn to the provisions of Part III, V, and VII of the Election (General) Regulations on the Parliamentary Elections (Subsidiary Legislation), First Schedule to the Leadership and Integrity Act No. 19 of 2012 and Chapter Six of the Constitution of Kenya",Job vacancies
"Every political party and every person who participates in the by- election shall subscribe to and observe the Electoral Code of Conduct set out in the Second Schedule to the Elections Act, 2011",Job vacancies
"In pursuance to the provisions of Section 26 of the Elections Act, 2011 any candidate who intends to vie for the by-election should not participate in public fundraising",Job vacancies
"1.     Gazette Notice No. 13713 of 2013 carried in Vol. CXV. No. 147 of the Kenya Gazette dated 11th October, 2013 is hereby revoked.",Job vacancies
"The Murang’a County Public Service Board is a body corporate established by Sec. 57 of the County Government Act, 2012 being the actualization of Article 235 of the Constitution of Kenya 2010.",Job vacancies
The board has perpetual succession and is capable of suing and be sued under its corporate name,Job vacancies
To appoint persons to hold or act in offices of the County Public Service including in the Boards of Cities and Urban Areas within the county and to confirm appointments. ,Job vacancies
To evaluate and report to the County Assembly on the extent to which the values and principles referred to in Articles 10 and 232 are complied with in the County Public Service,Job vacancies
"To facilitate the development of coherent, integrated human resource planning and budgeting for personnel emoluments in the county;",Job vacancies
To advise County Government on implementation and monitoring of the national performance management system in the county;,Job vacancies
"Make recommendations to the Salaries and Remuneration Commission, on behalf of the County Government, on the remuneration, pensions and gratuities for County Public Service employees",Job vacancies
"In readiness to offer effective and efficient services including compliance with the national values and principles of governance, the Murang’a county public service board made decisions to recruit for various cadres during the year ended 31st December 2014 as shown in Table 1.",Job vacancies
"In the performance of its function of promotion of national values and principles of governance in the public service, the board has experienced the following challenges:",Job vacancies
"In conclusion the Board envisages that gender balance will be attained gradually. However, the Board continues to encourage female applicants in the advertisements for vacancies",Job vacancies
"Capturing data of applicants’ especially female applicants during data entry and short listing per Sub-county and wards creates confusion. At short listing, a candidate’s identification documents may indicate that she is from a particular County, whereas at the time of interview she clarifies that she is from a different County.  Such claims require proof such as Affidavit of Marriage Certificate which candidates normally lack",Job vacancies
"Whereas the board would want to uphold the requirement of regional balancing within the County, there have been challenges when it comes to meeting minimum requirements as per the advertised vacancies across the county.",Job vacancies
"The law require that the Dominant Ethnic Group be 70 percent and non- Dominant Ethnic Group be 30 per cent according to section 55(1) (e) of the County Governments Act, No.17 of 2012. However, certain vacancies do not attract applicants from outside the Dominant Ethnic Group. The Board has strived to ensure this through advertisements that persons from other communities apply by indicating at all times that Murang’a County is an equal opportunity employer",Job vacancies
"Inadequate infrastructure is still a challenge in Murang’a County as a whole and therefore by extension affects the Board’s intention to attract competitive candidates and qualified personnel in its Public Service. Some of the neighboring Counties are better off when it comes to infrastructure development thereby attracting applicants due to the same. The Board has noted that even some successful candidates are still compelled to seek residence in other Counties due to this challenge particularly when it comes to educational institutions, residential houses, ICT, medical facilities and road networks",Job vacancies
"Advertised positions have so far attracted few people living with disabilities. The Board is currently seeking ways and means of capturing data on disabilities among the applicants; such initiatives may include requirements that enable the board to ascertain as at the time of short listing, information that can capture Persons Living with Disability",Job vacancies
The Board would wish to conclude by assuring all stakeholders that it is committed to ensuring that the National Values and Principles of Governance in the Public Service are adhered to,Job vacancies
"PURSUANT to section 102K (7) of the Kenya Information and Communications (Amendment) Act, 2013, the Public Service Commission invites applications from suitably qualified candidates to fill the following positions",Job vacancies
 Academic and Professional Certificates and transcripts; (c)  Any other supporting documents and testimonials; and (d)  Valid and current clearances from the following bodies,Job vacancies
have knowledge or experience in the field of broadcasting; telecommunication; postal systems; Information Technology; Finance or any other relevant field,Job vacancies
"All applications should be submitted together with detailed curriculum vitae, a copy of ID/Passport, copies of academic certificates, testimonials and any other relevant supporting documents.",Job vacancies
"Application for Chairperson, Universal Service Advisory Council” or “Application for Member, Universal Service Advisory Council” and delivered to:",Job vacancies
"PURSUANT to section 102K (7) of the Kenya Information and Communications (Amendment) Act, 2013, the Public Service Commission invites applications from suitably qualified candidates to fill the following positions",Job vacancies
have knowledge or experience in the field of broadcasting; telecommunication; postal systems; Information Technology; Finance or any other relevant field,Job vacancies
Academic and Professional Certificates and transcripts; (c)  Any other supporting documents and testimonials; and (d)  Valid and current clearances from the following bodies,Job vacancies
"All applications should be submitted together with detailed curriculum vitae, a copy of ID/Passport, copies of academic certificates, testimonials and any other relevant supporting documents.",Job vacancies
,
